日期,来源,标题,摘要,链接,关键词
2026-09-14 18:20:22,新浪财经·证券之星官方微博,拓尔思新注册《TRS网察大数据分析平台V7.0》项目的软件著作权,证券之星消息，近日拓尔思（300229）新注册了《TRS网察大数据分析平台V7.0》项目的软件著作权。结合公司2026年中报财务数据，今年上半年公司在研发方面投入了5818.95万元，同比减12.76%...,https://cj.sina.com.cn/articles/view/1850649324/6e4eaaec02002jdp8?from=pcsearch,拓尔思
2026-09-09 18:30:34,新浪财经·证券之星官方微博,拓尔思新注册《TRS内容风控智能巡查平台V1.0》等2个项目的软件著作权,证券之星消息，近日拓尔思（300229）新注册了2个项目的软件著作权，包括《TRS内容风控智能巡查平台V1.0》、《TRS高质量语料数据产品供给系统V3.0》等...,https://cj.sina.com.cn/articles/view/1850649324/6e4eaaec02002j0vi?from=pcsearch,拓尔思
2026-09-08 09:31:00,新浪财经·证券时报网,MLOps概念下跌1.12%，5股主力资金净流出超3000万元,截至9月8日收盘，MLOps概念下跌1.12%，位居概念板块跌幅榜前列，板块内，新炬网络、星环科技、中科创达等跌幅居前，股价上涨的有5只，涨幅居前的有格灵深瞳、万达信息、拓尔思等，...,https://finance.sina.com.cn/stock/relnews/cn/2026-09-08/doc-inirceww4632556.shtml?from=pcsearch,拓尔思
2026-08-29 09:06:31,新浪财经·时代财经,拓尔思2026年半年度营收1.26亿元，同比下降48.38%,时代财经AI快讯，8月29日，拓尔思（300229.SZ）发布公告，2026年半年度营业收入1.26亿元，同比下降48.38%；归属于上市公司股东的净利润为-1....,https://cj.sina.com.cn/articles/view/6372873842/17bda567202001lsgu?from=pcsearch,拓尔思
2026-08-28 09:33:16,新浪财经·证券日报之声,拓尔思：2026年半年度营业收入为126374704.80元,证券日报网讯 8月28日，拓尔思发布2026年半年度报告摘要称，公司2026年半年度实现营业收入126，374，704.80元，同比下降48.38%；归属于上市公司股东的净利润为-168，...,https://cj.sina.com.cn/articles/view/2311077472/89c03e6002002ngby?from=pcsearch,拓尔思
2026-08-28 09:12:15,新浪财经·智通财经网,拓尔思(300229.SZ)发布上半年业绩，归母净亏损1.69亿元,拓尔思(300229.SZ)发布2026年半年度报告，报告期内，公司实现营业收入1.26亿元，同比下降48.38%。归属于上市公司股东净亏损1.69亿元，归属于上市公司股东的扣除非经常性损益净亏损1.77亿元...,https://finance.sina.com.cn/stock/hkstock/ggscyd/2026-08-28/doc-inipwhrt5781466.shtml?from=pcsearch,拓尔思
2026-08-28 08:48:28,新浪财经·财中社,拓尔思：上半年亏损扩大至1.69亿元,公司在主要业务方面，紧扣“数据+AI”两大主线，推进决策智能的战略方向，聚焦动态本体与行业智能体的场景化部署。此外，公司已积累超1万亿条多模态数据资源，形成了多层次的数据体系，并具备将用户私有数据与自有数据体系安全整合的能力...,https://cj.sina.com.cn/articles/view/7935425109/1d8fcfa5502001kanu?from=pcsearch,拓尔思
